date,symbol,open_interest,open_interest_usd
2024-01-13T16:00:00Z,ADAUSDT,104527489,57572921.44568624
2024-01-13T20:00:00Z,ADAUSDT,104919408,57390539.51532528
2024-01-14T00:00:00Z,ADAUSDT,103197250,56665609.975
2024-01-14T04:00:00Z,ADAUSDT,101777126,55374553.68962286
2024-01-14T08:00:00Z,ADAUSDT,102728989,56166530.2721083
2024-01-14T12:00:00Z,ADAUSDT,104260910,56759101.4177044
2024-01-14T16:00:00Z,ADAUSDT,104810913,57205796.3154
2024-01-14T20:00:00Z,ADAUSDT,103931554,55674394.70290158
2024-01-15T00:00:00Z,ADAUSDT,103805262,54518523.6024
2024-01-15T04:00:00Z,ADAUSDT,104051062,55968879.99839902
2024-01-15T08:00:00Z,ADAUSDT,104160765,55918567.1148249
2024-01-15T12:00:00Z,ADAUSDT,106587290,57169363.5119968
2024-01-15T16:00:00Z,ADAUSDT,107955898,56655255.2704
2024-01-15T20:00:00Z,ADAUSDT,106348557,56797385.60004411
2024-01-16T00:00:00Z,ADAUSDT,106401519,56129126.14569015
2024-01-16T04:00:00Z,ADAUSDT,105624932,56604401.0588
2024-01-16T08:00:00Z,ADAUSDT,107039617,57003805.67065939
2024-01-16T12:00:00Z,ADAUSDT,108169643,58152473.85983634
2024-01-16T16:00:00Z,ADAUSDT,106279731,57635111.26307916
2024-01-16T20:00:00Z,ADAUSDT,108930912,58792029.51758112
2024-01-17T00:00:00Z,ADAUSDT,107372458,57504741.49324392
2024-01-17T04:00:00Z,ADAUSDT,108138486,57843428.63666526
2024-01-17T08:00:00Z,ADAUSDT,109751766,57981471.65158368
2024-01-17T12:00:00Z,ADAUSDT,109801670,58458409.108
2024-01-17T16:00:00Z,ADAUSDT,111024664,58421178.1968
2024-01-17T20:00:00Z,ADAUSDT,109510856,57817593.55275176
2024-01-18T00:00:00Z,ADAUSDT,110386499,58317187.4217
2024-01-18T04:00:00Z,ADAUSDT,110412045,57546757.854
2024-01-18T08:00:00Z,ADAUSDT,113223252,59463130.9569696
2024-01-18T12:00:00Z,ADAUSDT,117958568,61019529.60011272
2024-01-18T16:00:00Z,ADAUSDT,119939285,62396129.3772636
2024-01-18T20:00:00Z,ADAUSDT,117507421,58644945.6311224
2024-01-19T00:00:00Z,ADAUSDT,118477029,59525504.96165757
2024-01-19T04:00:00Z,ADAUSDT,120243961,59467230.48844202
2024-01-19T08:00:00Z,ADAUSDT,120728250,60306134.392395
2024-01-19T12:00:00Z,ADAUSDT,121099606,60648028.10142266
2024-01-19T16:00:00Z,ADAUSDT,122629269,59903913.52088745
2024-01-19T20:00:00Z,ADAUSDT,124555573,62012212.84391659
2024-01-20T00:00:00Z,ADAUSDT,122344397,61694420.66481862
