Date,maturity,symbol,side,strike,Vt,St,tau,ask,bid,vol,trade
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-27000-C,CALL,27000,7.5,21426.78573708,0.019836365418823342,15,0,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-27000-P,PUT,27000,5557.5,21427.26053829,0.01983635787449622,5585,5530,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-28000-C,CALL,28000,5,21427.26053829,0.019836350264493614,10,0,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-28000-P,PUT,28000,6905,21427.26053829,0.019836342672688415,7590,6220,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-29000-C,CALL,29000,47.5,21426.78573708,0.019836335037192798,95,0,NA,NA
2023-03-09T18:13:41Z,2023-03-17,BTC-230317-29000-P,PUT,29000,12505,21426.78573708,0.01983632733143265,17830,7180,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-19000-C,CALL,19000,2857.5,21426.78573708,0.03901440185930661,3680,2035,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-19000-P,PUT,19000,157.5,21426.78573708,0.039014394287959324,165,150,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-20000-C,CALL,20000,1725,21426.78573708,0.03901438680957986,1740,1710,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-20000-P,PUT,20000,287.5,21426.70498329,0.039014379387969964,300,275,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-21000-C,CALL,21000,1015,21426.70498329,0.039014371903444055,1030,1000,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-21000-P,PUT,21000,567.5,21426.70498329,0.03901436428167777,580,555,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-22000-C,CALL,22000,517.5,21426.70498329,0.03901435681088118,530,505,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-22000-P,PUT,22000,1067.5,21428.59993914,0.03901434934998091,1080,1055,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-23000-C,CALL,23000,245,21428.59993914,0.03901433884978808,255,235,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-23000-P,PUT,23000,1800,21428.59993914,0.03901433140312367,1805,1795,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-23500-C,CALL,23500,172.5,21428.59993914,0.0390143238339008,180,165,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-23500-P,PUT,23500,2205,21428.59993914,0.03901431222662957,2230,2180,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-24000-C,CALL,24000,122.5,21428.59993914,0.03901430215055661,130,115,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-24000-P,PUT,24000,2652.5,21428.59993914,0.03901429398661788,2680,2625,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-25000-C,CALL,25000,67.5,21430.85985594,0.03901428587817105,75,60,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-25000-P,PUT,25000,3592.5,21430.85985594,0.039014276290782086,3620,3565,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-27000-C,CALL,27000,25,21430.85985594,0.03901426812759939,30,20,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-27000-P,PUT,27000,5547.5,21430.85985594,0.03901426058415681,5575,5520,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-29000-C,CALL,29000,15,21429.65328002,0.039014253015092704,20,10,NA,NA
2023-03-09T18:13:41Z,2023-03-24,BTC-230324-29000-P,PUT,29000,12525,21429.65328002,0.03901424476164117,17825,7225,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-17000-C,CALL,17000,4503,21429.65328002,0.058192317709092375,4729,4277,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-17000-P,PUT,17000,85.5,21429.65328002,0.0581923074838944,94,77,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-19000-C,CALL,19000,2702.5,21429.82284378,0.05819229773899615,2865,2540,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-19000-P,PUT,19000,234,21429.82284378,0.058192290121667704,238,230,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-21000-C,CALL,21000,1167,21429.82284378,0.058192281599443375,1180,1154,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-21000-P,PUT,21000,719.5,21429.9196283,0.0581922734112742,730,709,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-22000-C,CALL,22000,671.5,21429.9196283,0.05819226432949653,678,665,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-22000-P,PUT,22000,1225.5,21429.9196283,0.05819225673379781,1240,1211,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-23000-C,CALL,23000,365,21429.9196283,0.05819224934161224,375,355,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-23000-P,PUT,23000,1842.5,21429.9196283,0.05819223929620346,1910,1775,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-24000-C,CALL,24000,200.5,21429.9196283,0.05819222951626366,206,195,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-24000-P,PUT,24000,2755,21429.9196283,0.05819222207274429,2865,2645,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-25000-C,CALL,25000,115,21430.15423524,0.0581922146280153,120,110,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-25000-P,PUT,25000,3640,21430.15423524,0.05819220720738067,3795,3485,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-27000-C,CALL,27000,49,21430.15423524,0.058192199781075885,54,44,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-27000-P,PUT,27000,5537.5,21430.15423524,0.058192192208934776,6410,4665,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-29000-C,CALL,29000,25.5,21430.15423524,0.05819218464472432,31,20,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-29000-P,PUT,29000,7392.5,21428.64282094,0.05819217432730697,8570,6215,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-32000-C,CALL,32000,159,21428.64282094,0.05819216459471673,300,18,NA,NA
2023-03-09T18:13:41Z,2023-03-31,BTC-230331-32000-P,PUT,32000,15342.5,21428.64282094,0.058192154852419194,20845,9840,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-16000-C,CALL,16000,13265,21428.64282094,0.13490447373998188,21150,5380,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-16000-P,PUT,16000,172.5,21428.64282094,0.13490446388866623,185,160,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-19000-C,CALL,19000,3067.5,21428.64282094,0.13490445599923848,3090,3045,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-19000-P,PUT,19000,582.5,21430.48951063,0.13490444780863492,590,575,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-21000-C,CALL,21000,1737.5,21430.48951063,0.13490444012325709,1760,1715,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-21000-P,PUT,21000,1235,21430.48951063,0.1349044316664134,1260,1210,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-23000-C,CALL,23000,885,21430.48951063,0.13490442193544105,900,870,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-23000-P,PUT,23000,2345,21429.88984981,0.13490441221898428,2405,2285,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-24000-C,CALL,24000,632.5,21429.88984981,0.1349044026646712,660,605,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-24000-P,PUT,24000,3127.5,21429.88984981,0.13490439509389093,3160,3095,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-25000-C,CALL,25000,450,21429.88984981,0.13490438749797298,465,435,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-25000-P,PUT,25000,3937.5,21428.76983923,0.13490437974350244,4080,3795,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-27000-C,CALL,27000,252.5,21428.76983923,0.13490436904341027,260,245,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-27000-P,PUT,27000,5767.5,21428.76983923,0.13490436025383448,5980,5555,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-29000-C,CALL,29000,145,21428.76983923,0.1349043528576193,155,135,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-29000-P,PUT,29000,7732.5,21428.76983923,0.13490434477457475,8600,6865,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-32000-C,CALL,32000,75,21428.76983923,0.1349043371553109,90,60,NA,NA
2023-03-09T18:13:41Z,2023-04-28,BTC-230428-32000-P,PUT,32000,10495,21428.76983923,0.13490432769390515,11020,9970,NA,NA
