api,pair,interval,from,to,n,missing,id
fapi,MANTAUSDT,1d,2024-01-18T00:00:00Z,2024-10-01T00:00:00Z,258,0,MANTAUSDT-fapi-1d
fapi,MANTAUSDT,1h,2024-01-18T14:00:00Z,2024-10-01T13:00:00Z,6168,0,MANTAUSDT-fapi-1h
fapi,MANTAUSDT,1w,2024-01-15T00:00:00Z,2024-09-30T00:00:00Z,38,0,MANTAUSDT-fapi-1w
fapi,MANTAUSDT,30m,2024-01-18T14:00:00Z,2024-10-01T13:30:00Z,12336,0,MANTAUSDT-fapi-30m
fapi,MANTAUSDT,4h,2024-01-18T12:00:00Z,2024-10-01T12:00:00Z,1543,0,MANTAUSDT-fapi-4h
fapi,MANTAUSDT,5m,2024-01-18T14:00:00Z,2024-10-01T13:30:00Z,74011,0,MANTAUSDT-fapi-5m
fapi,MATICUSDT,15m,2020-10-22T07:00:00Z,2024-09-11T09:30:00Z,136331,0,MATICUSDT-fapi-15m
fapi,MATICUSDT,1M,2020-10-01T00:00:00Z,2024-09-01T00:00:00Z,48,0,MATICUSDT-fapi-1M
fapi,MATICUSDT,1d,2020-10-22T00:00:00Z,2024-09-11T00:00:00Z,1421,0,MATICUSDT-fapi-1d
fapi,MATICUSDT,1h,2020-10-22T07:00:00Z,2024-09-11T09:00:00Z,34083,0,MATICUSDT-fapi-1h
fapi,MATICUSDT,1w,2020-10-19T00:00:00Z,2024-09-09T00:00:00Z,204,0,MATICUSDT-fapi-1w
fapi,MATICUSDT,30m,2020-10-22T07:00:00Z,2024-09-11T09:30:00Z,68166,0,MATICUSDT-fapi-30m
fapi,MATICUSDT,4h,2020-10-22T04:00:00Z,2024-09-11T08:00:00Z,8522,0,MATICUSDT-fapi-4h
fapi,MATICUSDT,5m,2020-10-22T07:00:00Z,2024-09-11T09:40:00Z,408993,0,MATICUSDT-fapi-5m
fapi,NFPUSDT,15m,2023-12-27T13:30:00Z,2024-10-01T13:30:00Z,26785,0,NFPUSDT-fapi-15m
fapi,NFPUSDT,1M,2023-12-01T00:00:00Z,2024-10-01T00:00:00Z,11,0,NFPUSDT-fapi-1M
fapi,NFPUSDT,1d,2023-12-27T00:00:00Z,2024-10-01T00:00:00Z,280,0,NFPUSDT-fapi-1d
fapi,NFPUSDT,1h,2023-12-27T13:00:00Z,2024-10-01T13:00:00Z,6697,0,NFPUSDT-fapi-1h
fapi,NFPUSDT,1w,2023-12-25T00:00:00Z,2024-09-30T00:00:00Z,41,0,NFPUSDT-fapi-1w
fapi,NFPUSDT,30m,2023-12-27T13:30:00Z,2024-10-01T13:30:00Z,13393,0,NFPUSDT-fapi-30m
fapi,NFPUSDT,4h,2023-12-27T12:00:00Z,2024-10-01T12:00:00Z,1675,0,NFPUSDT-fapi-4h
fapi,NFPUSDT,5m,2023-12-27T13:30:00Z,2024-10-01T13:35:00Z,80354,0,NFPUSDT-fapi-5m
fapi,SEIUSDT,15m,2023-08-17T02:30:00Z,2024-10-01T13:30:00Z,39501,0,SEIUSDT-fapi-15m
fapi,SEIUSDT,1M,2023-08-01T00:00:00Z,2024-10-01T00:00:00Z,15,0,SEIUSDT-fapi-1M
fapi,SEIUSDT,1d,2023-08-17T00:00:00Z,2024-10-01T00:00:00Z,412,0,SEIUSDT-fapi-1d
fapi,SEIUSDT,1h,2023-08-17T02:00:00Z,2024-10-01T13:00:00Z,9876,0,SEIUSDT-fapi-1h
fapi,SEIUSDT,1w,2023-08-14T00:00:00Z,2024-09-30T00:00:00Z,60,0,SEIUSDT-fapi-1w
fapi,SEIUSDT,30m,2023-08-17T02:30:00Z,2024-10-01T13:30:00Z,19751,0,SEIUSDT-fapi-30m
fapi,SEIUSDT,4h,2023-08-17T00:00:00Z,2024-10-01T12:00:00Z,2470,0,SEIUSDT-fapi-4h
fapi,SEIUSDT,5m,2023-08-17T02:30:00Z,2024-10-01T13:35:00Z,118502,0,SEIUSDT-fapi-5m
fapi,SOLUSDT,15m,2020-09-14T07:00:00Z,2024-10-01T13:30:00Z,141915,0,SOLUSDT-fapi-15m
fapi,SOLUSDT,1M,2020-09-01T00:00:00Z,2024-10-01T00:00:00Z,50,0,SOLUSDT-fapi-1M
fapi,SOLUSDT,1d,2020-09-14T00:00:00Z,2024-10-01T00:00:00Z,1479,0,SOLUSDT-fapi-1d
fapi,SOLUSDT,1h,2020-09-14T07:00:00Z,2024-10-01T13:00:00Z,35479,0,SOLUSDT-fapi-1h
